provider_id,provider_name,system_family,indicator_id,score
inria,INRIA/CNRS/Sorbonne,CamemBERT,GOV3,0.0
inria,INRIA/CNRS/Sorbonne,CamemBERT,TRA1,1.0
inria,INRIA/CNRS/Sorbonne,CamemBERT,TRA2,1.0
inria,INRIA/CNRS/Sorbonne,CamemBERT,TRA3,1.0
inria,INRIA/CNRS/Sorbonne,CamemBERT,TRA5,
inria,INRIA/CNRS/Sorbonne,CamemBERT,TRA10,1.0
lnu_lm,LMU/LAION,LeoLM,GOV3,1.0
lnu_lm,LMU/LAION,LeoLM,TRA1,1.0
lnu_lm,LMU/LAION,LeoLM,TRA2,1.0
lnu_lm,LMU/LAION,LeoLM,TRA3,1.0
lnu_lm,LMU/LAION,LeoLM,TRA5,1.0
lnu_lm,LMU/LAION,LeoLM,TRA10,1.0
baichuan,Baichuan AI,Baichuan 2,GOV3,1.0
baichuan,Baichuan AI,Baichuan 2,TRA1,1.0
baichuan,Baichuan AI,Baichuan 2,TRA2,1.0
baichuan,Baichuan AI,Baichuan 2,TRA3,0.0
baichuan,Baichuan AI,Baichuan 2,TRA5,1.0
baichuan,Baichuan AI,Baichuan 2,TRA10,1.0
minicpm,OpenBMB,MiniCPM,GOV3,1.0
minicpm,OpenBMB,MiniCPM,TRA1,1.0
minicpm,OpenBMB,MiniCPM,TRA2,1.0
minicpm,OpenBMB,MiniCPM,TRA3,1.0
minicpm,OpenBMB,MiniCPM,TRA5,1.0
minicpm,OpenBMB,MiniCPM,TRA10,1.0
internlm,Shanghai AI Lab,InternLM,GOV3,1.0
internlm,Shanghai AI Lab,InternLM,TRA1,1.0
internlm,Shanghai AI Lab,InternLM,TRA2,1.0
internlm,Shanghai AI Lab,InternLM,TRA3,1.0
internlm,Shanghai AI Lab,InternLM,TRA5,1.0
internlm,Shanghai AI Lab,InternLM,TRA10,1.0
tencent,Tencent AI Lab,Hunyuan,GOV3,0.0
tencent,Tencent AI Lab,Hunyuan,TRA1,1.0
tencent,Tencent AI Lab,Hunyuan,TRA2,1.0
tencent,Tencent AI Lab,Hunyuan,TRA3,0.0
tencent,Tencent AI Lab,Hunyuan,TRA5,
tencent,Tencent AI Lab,Hunyuan,TRA10,1.0
bytedance,ByteDance,Doubao,GOV3,0.0
bytedance,ByteDance,Doubao,TRA1,
bytedance,ByteDance,Doubao,TRA2,0.0
bytedance,ByteDance,Doubao,TRA3,0.0
bytedance,ByteDance,Doubao,TRA5,
bytedance,ByteDance,Doubao,TRA10,0.0
sensetime,SenseTime,SenseNova,GOV3,0.0
sensetime,SenseTime,SenseNova,TRA1,
sensetime,SenseTime,SenseNova,TRA2,0.0
sensetime,SenseTime,SenseNova,TRA3,0.0
sensetime,SenseTime,SenseNova,TRA5,
sensetime,SenseTime,SenseNova,TRA10,0.0
360,Qihoo 360,360GLM,GOV3,1.0
360,Qihoo 360,360GLM,TRA1,1.0
360,Qihoo 360,360GLM,TRA2,1.0
360,Qihoo 360,360GLM,TRA3,0.0
360,Qihoo 360,360GLM,TRA5,1.0
360,Qihoo 360,360GLM,TRA10,1.0
iflytek,iFLYTEK,Spark (Xinghuo),GOV3,0.0
iflytek,iFLYTEK,Spark (Xinghuo),TRA1,
iflytek,iFLYTEK,Spark (Xinghuo),TRA2,0.0
iflytek,iFLYTEK,Spark (Xinghuo),TRA3,0.0
iflytek,iFLYTEK,Spark (Xinghuo),TRA5,
iflytek,iFLYTEK,Spark (Xinghuo),TRA10,0.0
huawei,Huawei,PanGu,GOV3,0.0
huawei,Huawei,PanGu,TRA1,
huawei,Huawei,PanGu,TRA2,0.0
huawei,Huawei,PanGu,TRA3,0.0
huawei,Huawei,PanGu,TRA5,
huawei,Huawei,PanGu,TRA10,0.0
baai,Beijing Academy of AI (BAAI),Aquila / WuDao,GOV3,1.0
baai,Beijing Academy of AI (BAAI),Aquila / WuDao,TRA1,1.0
baai,Beijing Academy of AI (BAAI),Aquila / WuDao,TRA2,1.0
baai,Beijing Academy of AI (BAAI),Aquila / WuDao,TRA3,1.0
baai,Beijing Academy of AI (BAAI),Aquila / WuDao,TRA5,1.0
baai,Beijing Academy of AI (BAAI),Aquila / WuDao,TRA10,1.0
thudm,THUDM (Tsinghua),ChatGLM-6B,GOV3,1.0
thudm,THUDM (Tsinghua),ChatGLM-6B,TRA1,1.0
thudm,THUDM (Tsinghua),ChatGLM-6B,TRA2,1.0
thudm,THUDM (Tsinghua),ChatGLM-6B,TRA3,1.0
thudm,THUDM (Tsinghua),ChatGLM-6B,TRA5,1.0
thudm,THUDM (Tsinghua),ChatGLM-6B,TRA10,1.0
naver,Naver,HyperCLOVA X,GOV3,0.0
naver,Naver,HyperCLOVA X,TRA1,
naver,Naver,HyperCLOVA X,TRA2,0.0
naver,Naver,HyperCLOVA X,TRA3,0.0
naver,Naver,HyperCLOVA X,TRA5,
naver,Naver,HyperCLOVA X,TRA10,0.0
kakaobrain,Kakao Brain,KoGPT,GOV3,1.0
kakaobrain,Kakao Brain,KoGPT,TRA1,1.0
kakaobrain,Kakao Brain,KoGPT,TRA2,1.0
kakaobrain,Kakao Brain,KoGPT,TRA3,1.0
kakaobrain,Kakao Brain,KoGPT,TRA5,1.0
kakaobrain,Kakao Brain,KoGPT,TRA10,1.0
lgai,LG AI Research,EXAONE,GOV3,0.0
lgai,LG AI Research,EXAONE,TRA1,1.0
lgai,LG AI Research,EXAONE,TRA2,1.0
lgai,LG AI Research,EXAONE,TRA3,0.0
lgai,LG AI Research,EXAONE,TRA5,
lgai,LG AI Research,EXAONE,TRA10,1.0
rinna,rinna,Japanese LLMs,GOV3,1.0
rinna,rinna,Japanese LLMs,TRA1,1.0
rinna,rinna,Japanese LLMs,TRA2,1.0
rinna,rinna,Japanese LLMs,TRA3,0.0
rinna,rinna,Japanese LLMs,TRA5,1.0
rinna,rinna,Japanese LLMs,TRA10,1.0
